row	lambda
1	0.951273556
2	0.938024573
3	1.085590384
4	0.746135782
5	0.729006036
6	0.97984563
7	0.651067235
8	0.969779478
9	0.847749616
10	1.007390209
11	0.970049574
12	0.595740386
13	1.048318764
14	0.588146443
15	0.592532851
16	1.024816795
17	0.625297339
18	1.034208721
19	0.904406243
20	1.124591502
21	0.399772578
22	1.118285269
23	1.119076818
24	1.29905026
25	1.240043101
26	0.627132587
27	1.136623614
28	0.716828119
29	0.589469236
30	0.635329679
31	1.367621515
32	0.627372048
33	0.703045153
34	1.0620899
35	1.06582964
36	1.064598731
37	0.926617009
38	1.092632518
39	1.280584545
40	1.032175232
41	1.233180354
42	0.889620956
43	1.098041219
44	0.874895193
45	1.081267106
46	0.986053232
47	0.731815361
48	0.66948324
49	0.718896302
50	0.729160228
51	0.680435961
52	0.707206624
53	0.790442997
54	1.068131505
55	0.62882728
56	1.014799865
57	1.057520475
58	0.740503511
59	1.214394925
60	0.663373817
61	0.806562496
62	1.055366215
63	1.032895158
64	0.993453572
65	0.978466507
66	0.667038224
67	0.805928509
68	0.665808984
69	0.441690322
70	0.947838196
71	0.951044627
72	0.964186246
73	0.806916983
74	0.700147614
75	0.770287496
76	1.225856833
77	0.874272456
78	0.643515039
79	0.873099937
80	0.850865448
81	0.42531779
82	0.826300616
83	0.944571733
84	0.897422732
85	0.978436502
86	0.415931116
87	0.959041339
88	0.808391002
