"row" "hierarchical.median.lambda" "hierarchical.mean.lambda" "hierarchical.sd.lambda"
"1" 0.62639999201788 0.674298244897959 0.293667080322423
"2" 0.613699991852697 0.663723673469388 0.294349427150703
"3" 1.042 1.10544473469388 0.376162177089863
"4" 1.004 1.0521513877551 0.342099165632521
"5" 0.579249997842037 0.616180228571429 0.22929744433543
"6" 0.447849997208887 0.476683597959184 0.199551589256371
"7" 0.4968 0.54104546122449 0.241038158613504
"8" 1.262 1.33268304081633 0.45766226085327
"9" 0.806999993804213 0.840479897959184 0.279869552024196
"10" 0.696549998205441 0.737453253061224 0.27391399277249
"11" 0.838899994039814 0.872663 0.268242480979697
"12" 0.699599992853059 0.737295367346939 0.255242790358461
"13" 0.476849997378631 0.503313932653061 0.199263389964393
"14" 0.67514999814856 0.745425889795918 0.36613573761067
"15" 0.7127 0.761843969387755 0.311243017437093
"16" 1.045 1.11544391836735 0.423545820519769
"17" 1.133 1.18886736734694 0.382196834706534
"18" 0.761449998358395 0.798938979591837 0.276448824657662
"19" 0.659199992415049 0.698863897959184 0.270514777199532
"20" 0.614299991860654 0.64376252244898 0.24397261347116
"21" 0.5966 0.634759855102041 0.255179485342815
"22" 0.525299990481629 0.565134716326531 0.25694595162358
"23" 0.769149998374829 0.827359387755102 0.356081441461485
"24" 0.589399991516797 0.669937518367347 0.382749767474016
"25" 1.001 1.04646904081633 0.325128533320151
"26" 0.669899992536199 0.709721959183673 0.27294209309735
"27" 0.798699993739827 0.830105204081633 0.262383130697082
"28" 0.522299961707829 0.572305951020408 0.279063842692235
"29" 1.111 1.18640446938776 0.439998254369443
"30" 1.14949989125706 1.21652969387755 0.426459695806395
"31" 1.197 1.30132871428571 0.524261083114123
"32" 0.3976 0.440981489795918 0.242151692344683
"33" 0.930799951654489 1.04245559183673 0.548310328579707
"34" 0.598099991640194 0.631229642857143 0.236220424761881
"35" 0.57394999782211 0.648387767346939 0.360117949751758
"36" 0.916049998635446 1.02326979591837 0.535784034709243
"37" 1.394 1.44391202040816 0.412033892060064
"38" 0.537449997674202 0.569077795918367 0.225176956802219
"39" 0.779149998395688 0.870548775510204 0.466786910572854
"40" 0.849249998528113 0.916490265306122 0.37634957661496
"41" 1.192 1.28868246938775 0.508626864344491
"42" 0.4658 0.503510616326531 0.233626225202951
"43" 1.39049991010428 1.49052495918367 0.568669390105899
"44" 0.8592 0.902567224489796 0.304902404717613
"45" 0.582249980678402 0.62621087755102 0.278645872593835
"46" 1.274 1.34789736734694 0.457808916805028
"47" 0.7632 0.814236632653061 0.329977433087627
"48" 1.366 1.43329906122449 0.457325750708185
"49" 0.771 0.804809959183673 0.267909577700454
"50" 0.515549997575405 0.55815603877551 0.255667945714861
"51" 0.480049976564941 0.5111469 0.20557503480851
"52" 0.422149925974173 0.443066206122449 0.173459094645399
"53" 0.6132 0.663528471428571 0.307402098446684
"54" 0.731999993169399 0.796660085714286 0.3839584301571
"55" 0.767799993487887 0.822960102040816 0.336757359160501
"56" 0.5889 0.630113106122449 0.265087195088989
"57" 0.6261 0.658554816326531 0.232060819966161
"58" 0.6492 0.674045489795918 0.228418297423256
"59" 1.08949988526847 1.14011024489796 0.341699253594836
"60" 1.478 1.56475079591837 0.568747797143732
"61" 0.707149998232341 0.747773755102041 0.269694739620703
"62" 1.61549992262457 1.69184295918367 0.554447944243194
"63" 0.6254 0.710848104081633 0.400296292657154
"64" 0.6136 0.643881285714286 0.233267176067435
"65" 1.005 1.08016906122449 0.498386262364353
"66" 0.9274 0.969486734693878 0.344144758285803
"67" 0.8535 0.889348836734694 0.2805817489014
"68" 0.590849997884404 0.625690810204082 0.253245997194943
"69" 0.589649997880098 0.64243387755102 0.30549839588283
"70" 0.6029 0.662675848979592 0.313898988250313
"71" 0.542449979260761 0.588140928571429 0.277087074496974
"72" 0.480549997398814 0.520839320408163 0.238283263344635
"73" 1.384 1.44513908163265 0.446084397033297
"74" 0.615549997969296 0.644803 0.237228000253095
"75" 0.631149998019488 0.66685852244898 0.256462532760402
"76" 0.8297 0.927747367346939 0.473694146310716
"77" 0.6085 0.652582214285714 0.284001447392976
"78" 0.4996 0.567055744897959 0.314947183243773
"79" 0.622949997993418 0.672698051020408 0.295402598191255
"80" 0.594249997896508 0.620507916326531 0.221607333802345
"81" 0.5896 0.652801963265306 0.336673041772702
"82" 0.458849997275798 0.503774165306122 0.239124579236593
"83" 0.4345 0.460856683673469 0.193305200117244
"84" 0.7079 0.745586714285714 0.26424692958844
"85" 0.842799976269577 0.884944959183673 0.284291842057774
"86" 0.992099979840742 1.02516236734694 0.300763876850927
"87" 0.5916 0.640096828571429 0.310632369600964
"88" 0.710849998241542 0.797217567346939 0.403680170077576
