row	lambda
1	1.017931145
2	1.263472918
3	1.089201617
4	1.268671611
5	0.955675298
6	1.194557412
7	1.125785713
8	1.005465589
9	0.565981304
10	0.655184824
11	0.782657697
12	1.336972028
13	0.836909686
14	0.982513694
15	0.92952144
16	1.164326217
17	1.031285967
18	1.208749034
19	1.108407074
20	1.092828229
21	0.828789299
22	1.155892686
23	1.211672135
24	0.936452597
25	0.957873538
26	0.673769772
27	1.230885
28	0.736220519
29	0.837565327
30	1.128429036
31	0.984923231
32	1.005037507
33	0.751331788
34	1.301791192
35	0.826748643
36	1.220489774
37	1.170681066
38	0.640976263
39	1.20841744
40	1.014794707
41	1.101852748
42	0.988213814
43	1.235504858
44	0.895186848
45	0.905420312
46	0.816548385
47	0.696513445
48	0.647457373
49	0.90369334
50	0.943818026
51	0.890764054
52	0.998810047
53	0.810188477
54	0.960766472
55	0.757391526
56	1.014469327
57	0.986690939
58	0.954052543
59	1.282027338
60	0.848627048
61	0.723790041
62	1.008735803
63	1.067584926
64	1.612425582
65	1.027327514
66	0.908201486
67	1.004972283
68	0.789641986
69	0.976960489
70	0.980672424
71	0.59174967
72	1.464343512
73	0.87809011
74	1.093595392
75	1.075184082
76	1.459726721
77	1.109231279
78	1.033724253
79	0.885150396
80	1.029726681
81	1.351974157
82	1.061733239
83	1.183891314
84	0.729031673
85	1.343568108
86	0.792795831
87	1.087668555
88	0.997207971
