id,mean_median_lambda,mean_mean_lambda,mean_sd_lambda,condition,subject
1,0.57654999600894,0.615030791836734,0.256628828302223,mouse,m1
2,0.708299995926349,0.77385743877551,0.357241679952445,mouse,m2
3,1.372,1.45344084693878,0.508602029636356,mouse,m3
4,0.97432499933838,1.01957567346939,0.334038010906617,mouse,m4
5,0.557724998921018,0.600861153061224,0.249854409553574,mouse,m5
6,0.538174994626718,0.570190992857143,0.223805606156082,mouse,m6
7,0.650174999222201,0.71507463877551,0.34683751573925,mouse,m7
8,1.5407499656499,1.62924502040816,0.578677804010729,mouse,m8
9,0.67532499575247,0.719184521428571,0.306914719715219,mouse,m9
10,1.16352496077092,1.23576601428571,0.449822010874776,mouse,m10
11,0.879899994305172,0.919476591836734,0.29470924377220997,mouse,m11
12,1.53154996998269,1.61169040816326,0.527777430180649,mouse,m12
13,0.658199997944869,0.688218772448979,0.248215273131861,mouse,m13
14,0.94832494790768,1.01936102653061,0.443359259950215,mouse,m14
15,0.607449995021903,0.647254574489796,0.259612101535563,mouse,m15
16,1.3017499598973299,1.39258417346939,0.538641034122278,mouse,m16
17,1.86124997586407,1.99336355102041,0.728242574628882,mouse,m17
18,0.680524999179198,0.721427648979592,0.27488443506215,mouse,m18
19,0.615724995115345,0.654528420408164,0.263906098327867,mouse,m19
20,0.616849995930327,0.65403543367347,0.263648663133503,mouse,m20
21,0.545674998736736,0.587148948979592,0.259442148361942,mouse,m21
22,0.482674993820521,0.520941335714286,0.241057827302505,mouse,m22
23,0.798724999187415,0.849717224489796,0.347218196426946,mouse,m23
24,0.669049982401913,0.785723870408163,0.507637622349774,mouse,m24
25,0.850174999106313,0.891276030612246,0.302240568103448,mouse,m25
26,0.648399992280222,0.691487311224489,0.280450249433384,mouse,m26
27,0.967349996869914,1.02243435612245,0.370543135326638,mouse,m27
28,0.67382498009666,0.745864095918368,0.388089647480913,mouse,m28
29,1.269,1.36337355102041,0.544144255538927,mouse,m29
30,2.17099992605139,2.39610981632653,1.1168761729069001,mouse,m30
31,0.877974998881832,0.949786609183672,0.39337782218257,mouse,m31
32,0.4694,0.516034695918367,0.26702706709815,mouse,m32
33,0.983899975827244,1.09109420408163,0.547664676464116,mouse,m33
34,0.557174994609443,0.586258228571429,0.215317029204113,mouse,m34
35,0.499224998911055,0.570846987755102,0.336409405493399,mouse,m35
36,1.14302499931772,1.27971708163266,0.655310342953614,mouse,m36
37,1.5325,1.57750870408163,0.452458807500037,mouse,m37
38,0.54749998874832,0.580702354081633,0.236048321192179,mouse,m38
39,1.02432494996586,1.12198241836735,0.517949731911181,mouse,m39
40,1.02662499926406,1.10394751020408,0.435150790457172,mouse,m40
41,1.4935,1.58753919387755,0.571143392982572,mouse,m41
42,0.459549977939553,0.519210819387756,0.292808162889928,mouse,m42
43,1.34224995505214,1.43785390816327,0.554398378685131,mouse,m43
44,0.9951,1.04496116326531,0.345837447168753,mouse,m44
45,0.651524986870832,0.717603329591836,0.363016616053838,mouse,m45
46,1.26024994985961,1.34195481632653,0.489223998919113,mouse,m46
47,0.9491,1.01331791836735,0.397707592821477,mouse,m47
48,1.11934997421794,1.17718908163265,0.391510124888611,mouse,m48
49,0.762624992542261,0.799998269387755,0.275869919005999,mouse,m49
50,0.556799997742639,0.598834882653061,0.264967614208858,mouse,m50
51,0.655624985274771,0.699256858163265,0.273383016187666,mouse,m51
52,0.533024962987086,0.561590155102041,0.224445540778912,mouse,m52
53,0.582099995462795,0.628580325510204,0.280903815797394,mouse,m53
54,0.633974995418546,0.681513868367347,0.311592518801544,mouse,m54
55,0.671374995656892,0.714230376530612,0.288324005258974,mouse,m55
56,1.08895,1.16783363469388,0.49849390849806,mouse,m56
57,0.85755,0.904582673469386,0.317618222990625,mouse,m57
58,0.674824991969448,0.710128714285714,0.285640191708453,mouse,m58
59,0.893024941736956,0.939476387755103,0.321461826220489,mouse,m59
60,1.947,2.0773471122449,0.782376562702532,mouse,m60
61,0.88907499911617,0.95973648979592,0.398388747106799,mouse,m61
62,1.69924996131228,1.79607909183673,0.627045796282307,mouse,m62
63,0.634524999028975,0.708272554081633,0.380906452190634,mouse,m63
64,0.612799934640516,0.658160668367347,0.283865928438909,mouse,m64
65,1.271,1.37204518367347,0.650455948214992,mouse,m65
66,1.0222,1.06506767346939,0.345244529089343,mouse,m66
67,1.00149994562853,1.03785463265306,0.3168282081443,mouse,m67
68,0.582824998942202,0.624320815306122,0.273340480015672,mouse,m68
69,0.606374998940049,0.652584251020408,0.292166402638448,mouse,m69
70,0.90719994841106,0.996193465306121,0.45530537428025,mouse,m70
71,0.49272498963038,0.532907603061225,0.245664208620486,mouse,m71
72,0.533299997632945,0.580885029591837,0.281326889813634,mouse,m72
73,1.2185,1.27381102040816,0.39982220077125,mouse,m73
74,0.634099998027013,0.672677441836735,0.281583842895255,mouse,m74
75,0.996324953104489,1.05738627142857,0.397906513852309,mouse,m75
76,0.97059994376968,1.11457875510204,0.637799707408544,mouse,m76
77,0.538999994675187,0.580188636734694,0.260217837089229,mouse,m77
78,0.610599996535476,0.665112987755102,0.303385659738572,mouse,m78
79,0.558424993934955,0.598993153061224,0.260857036923305,mouse,m79
80,0.729349998225251,0.760353294897959,0.259079838334655,mouse,m80
81,0.5147,0.581176604081633,0.330068703930832,mouse,m81
82,0.373949996475644,0.409066431632653,0.194864111671594,mouse,m82
83,0.739499940162755,0.850629015306124,0.504382787955206,mouse,m83
84,0.684824991499811,0.719669224489796,0.250936306061538,mouse,m84
85,0.787824987281953,0.826881897959183,0.27751462978477,mouse,m85
86,0.669599989920371,0.703693875510205,0.24478820799257,mouse,m86
87,0.587724998929519,0.640438189795918,0.3154934674271,mouse,m87
88,0.596399997823956,0.66813026122449,0.351437496901215,mouse,m88
89,1.0815,1.15662652040816,0.436778545441464,click,c1
90,1.3815,1.45897373469388,0.479207681472463,click,c2
91,1.31,1.39791829591837,0.506908680943991,click,c3
92,1.45014995775821,1.54878774489796,0.571661707780624,click,c4
93,1.0415,1.0887333877551,0.370119405221352,click,c5
94,0.858549986343834,0.899008551020406,0.313900199011193,click,c6
95,0.725249993104422,0.765862087755102,0.302516899672262,click,c7
96,1.10994999644331,1.16381124489796,0.375450716263278,click,c8
97,0.920924996424724,0.954502204081632,0.295440536506914,click,c9
98,1.5405,1.63395894897959,0.56181155095979,click,c10
99,1.24,1.29777045918367,0.410660104443292,click,c11
100,1.2895,1.37557922448979,0.47512766303889,click,c12
101,0.980374999334929,1.01785162959184,0.323117489248708,click,c13
102,0.819524996231808,0.870533346938775,0.365687131392496,click,c14
103,1.05734999746116,1.11563798979592,0.380369402571025,click,c15
104,0.913324996525449,0.945604142857143,0.269563245705201,click,c16
105,0.660899996300133,0.689993717346938,0.243347217545769,click,c17
106,0.746124999159438,0.777360887755102,0.267934707713863,click,c18
107,0.8185,0.845895979591837,0.269379017656772,click,c19
108,0.952424999312167,0.996613519387755,0.333593060495001,click,c20
109,0.832674977765641,0.890771393877551,0.381959195749647,click,c21
110,0.878324996499521,0.93983068367347,0.380726448497887,click,c22
111,1.02124993833251,1.06661191836735,0.341963392347299,click,c23
112,1.12024994745691,1.18324558163266,0.392474743448971,click,c24
113,1.353,1.40888991836735,0.407911057084119,click,c25
114,1.312,1.3794515,0.468975116877564,click,c26
115,0.926599996728605,0.967289112244899,0.329804185442757,click,c27
116,1.01689999731414,1.05205064285714,0.327636236640914,click,c28
117,1.1479,1.21514795918367,0.447124769363154,click,c29
118,0.892674992912493,0.925074642857143,0.29567755860153,click,c30
119,1.1195,1.18102222448979,0.393131663213641,click,c31
120,0.652749995743232,0.681239585714285,0.242249779047161,click,c32
121,1.6,1.724338,0.660797599142079,click,c33
122,0.766724999272367,0.79788904081632706,0.268525647079098,click,c34
123,1.04137499904979,1.08737307653061,0.327548363392171,click,c35
124,1.223,1.2865002244898,0.423858297085203,click,c36
125,0.812199970718375,0.842115183673469,0.262926857217726,click,c37
126,0.951199995870499,1.02065175714286,0.414694070497305,click,c38
127,0.730999990123453,0.767539122448979,0.26631228957351,click,c39
128,0.9107,0.953080541836734,0.311251435543554,click,c40
129,1.166,1.21880897959183,0.398037704550024,click,c41
130,0.999574981064048,1.04364823469388,0.351523978959787,click,c42
131,0.66477499908819,0.711095551020408,0.301050921141475,click,c43
132,1.39524995168148,1.50377890816327,0.602056017924353,click,c44
133,0.97655,1.04857498979592,0.446774498253549,click,c45
134,1.7445,1.87420439795918,0.729399797092598,click,c46
135,1.233,1.30303546938775,0.449045556626004,click,c47
136,1.891,2.09130569387755,0.901314408881675,click,c48
137,0.702674998994288,0.728061846938776,0.254090360377063,click,c49
138,0.612699995577569,0.642304656122449,0.231145903808559,click,c50
139,0.744824999245488,0.784122857142857,0.304109577651629,click,c51
140,0.849874981489374,0.900614122448979,0.361988359263607,click,c52
141,0.981699997366758,1.06068715306122,0.461475857771874,click,c53
142,0.909199974590626,0.937402173469388,0.268780726690146,click,c54
143,0.920299974596363,0.951084826530612,0.2891303549736,click,c55
144,1.10317499930966,1.17377208163265,0.443522080804666,click,c56
145,0.716724995837086,0.757581286734694,0.305037245734502,click,c57
146,1.10347499932209,1.15194796938776,0.364485781855717,click,c58
147,0.732599998289857,0.760579673469387,0.250793926367417,click,c59
148,1.346,1.41904951020408,0.48121338390651,click,c60
149,0.721424971299913,0.751219243877551,0.254000328800173,click,c61
150,1.21134999710212,1.2651452244898,0.392016283301388,click,c62
151,0.771624989093322,0.793407908163265,0.245973629238465,click,c63
152,0.73802499916483,0.798374270408164,0.358772575715463,click,c64
153,1.09972495220224,1.15441359183674,0.384404322715423,click,c65
154,0.916949998636259,0.962318836734694,0.351089786480206,click,c66
155,1.76574997428513,1.86338636734694,0.616795994476034,click,c67
156,0.848224999270499,0.877434795918367,0.260043582201561,click,c68
157,1.24224994912495,1.30106820408164,0.413234292393793,click,c69
158,0.719399998262437,0.769496773469388,0.324516908635306,click,c70
159,0.889699987716496,0.920332205102041,0.285870242162909,click,c71
160,1.3505,1.41422408163266,0.441911021073051,click,c72
161,0.987624999256174,1.05053703061224,0.396690902762091,click,c73
162,1.50774996318115,1.58690734693878,0.515315667043782,click,c74
163,0.8847,0.924758928571427,0.318445107640872,click,c75
164,0.898874999123114,0.952011285714285,0.376786897229586,click,c76
165,0.926174996672169,0.96996831632653,0.350103003622152,click,c77
166,1.387,1.45543101020409,0.451521794934671,click,c78
167,1.362,1.46244559183673,0.54729467496882,click,c79
168,0.941974939921336,0.980036551020408,0.301556125320559,click,c80
169,0.828299998487957,0.888492440816327,0.385288500387283,click,c81
170,1.2385,1.30352170408164,0.43004759358468,click,c82
171,0.942949997037563,1.00468587755102,0.395857512610153,click,c83
172,0.994449947894955,1.03098743877551,0.323289111144396,click,c84
173,0.785274996216836,0.814534887755102,0.268400031303805,click,c85
174,1.16537499934124,1.21981106122449,0.386126915100241,click,c86
175,0.848399980629865,0.901026846938775,0.366110937242498,click,c87
176,1.2015,1.26914065306123,0.450569840603655,click,c88
